synset,adverb,sentence,type
00054282-r,practically,practically the first thing I saw when I got off the train,adverb.degree
00054282-r,practically,he was practically the only guest at the party,adverb.degree
00054282-r,practically,there was practically no garden at all,adverb.degree
00054622-r,pyramidically,the bush was trimmed pyramidically,adverb.manner
00054750-r,next,next the doctor examined his back,adverb.temporal
00054973-r,easily,easily the best book she's written,adverb.degree
00055488-r,terribly,terribly interesting,adverb.degree
00055488-r,awful,I'm awful sorry,adverb.degree
00055639-r,terribly,she sings terribly,adverb.manner
00055850-r,tolerably,she plays tennis tolerably,adverb.degree
00056056-r,unacceptably,The percentage of lead in our drinking water is unacceptably high,adverb.degree
00056277-r,abusively,he behaved abusively toward his children,adverb.manner
00056397-r,admiringly,he looked at his wife admiringly,adverb.manner
00056487-r,adoringly,he looked at his wife adoringly,adverb.manner
00056592-r,adroitly,he handled the situation adroitly,adverb.manner
00056738-r,maladroitly,he dealt with the situation maladroitly,adverb.manner
00056878-r,dreadfully,there was a dreadfully bloody accident on the road this morning,adverb.degree
00057077-r,greatly,he improved greatly,adverb.degree
00057795-r,thoroughly,we searched the files thoroughly,adverb.manner
00057926-r,soundly,he was soundly defeated,adverb.degree
00057926-r,good,we beat him good,adverb.degree
00058164-r,through,got soaked through in the rain,adverb.degree
00058164-r,through,I'm frozen through,adverb.degree
00058164-r,through,a letter shot through with the writer's personality,adverb.spatial
00058164-r,through,knew him through and through,adverb.degree
00058164-r,through,boards rotten through and through,adverb.degree
00058430-r,soundly,slept soundly through the storm,adverb.manner
00058430-r,soundly,the baby is sleeping soundly,adverb.manner
00058571-r,flop,he fell flop on his face,adverb.manner
00058666-r,directly,he didn't answer directly,adverb.manner
00058666-r,straight,told me straight out,adverb.manner
00058666-r,flat,came out flat for less work and more pay,adverb.manner
00058897-r,indirectly,he answered very indirectly,adverb.manner
00059287-r,man-to-man,we must talk man-to-man,adverb.manner
00059361-r,secondhand,I heard about it only secondhand or thirdhand,adverb.manner
00059361-r,secondhand,he prefers to buy secondhand,adverb.manner
00059516-r,thirdhand,I got the news thirdhand,adverb.manner
00059624-r,much,she's much better now,adverb.degree
00059951-r,much,I don't drink much,adverb.degree
00059951-r,much,I don't travel much,adverb.degree
00060145-r,better,She had never sung better,adverb.manner
00060145-r,better,a deed better left undone,adverb.speaker_oriented
00060145-r,better,better suited to the job,adverb.degree
00060392-r,increasingly,she became increasingly depressed,adverb.degree
00060570-r,effectively,she is effectively his wife,adverb.degree
00061170-r,previously,she had previously lived in Chicago,adverb.temporal
00061170-r,previously,he was previously president of a bank,adverb.temporal
00061170-r,previously,better than anything previously proposed,adverb.temporal
00061170-r,previously,a previously unquestioned attitude,adverb.temporal
00061170-r,antecedently,antecedently arranged,adverb.temporal
00061477-r,before,I had known her before,adverb.temporal
00061477-r,before,as I said before,adverb.temporal
00061477-r,earlier,he called me the day before but your call had come even earlier,adverb.temporal
00061477-r,before,he called me the day before but your call had come even earlier,adverb.temporal
00061477-r,earlier,her parents had died four years earlier,adverb.temporal
00061477-r,earlier,I mentioned that problem earlier,adverb.temporal
00061741-r,subsequently,he apologized subsequently,adverb.temporal
00061741-r,later,he's going to the store but he'll be back here later,adverb.temporal
00061741-r,afterward,it didn't happen until afterward,adverb.temporal
00061741-r,after,two hours after that,adverb.temporal
00062868-r,intentionally,he used that word intentionally,adverb.manner
00063188-r,unintentionally,she hit him unintentionally,adverb.subject_oriented
00063395-r,accordingly,continued to have severe headaches and accordingly returned to the doctor,adverb.conjunctive
00063627-r,accordingly,she acted accordingly,adverb.manner
00063710-r,instead,Felix became a herpetologist instead,adverb.conjunctive
00063710-r,alternatively,alternatively we could buy a used car,adverb.conjunctive
00064168-r,altogether,altogether he earns close to a million dollars,adverb.focus
00064621-r,anatomically,anatomically correct,adverb.domain
00064727-r,blindly,they bought the car blindly,adverb.manner
00064727-r,blindly,he picked a wife blindly,adverb.manner
00064899-r,chromatically,chromatically pure,adverb.domain
00065002-r,chronologically,he is chronologically older,adverb.domain
00065121-r,clinically,she is clinically qualified,adverb.domain
00065229-r,mathematically,mathematically impossible,adverb.domain
00065346-r,meanwhile,meanwhile I will not think about the problem,adverb.temporal
00065346-r,meantime,meantime he was attentive to his other interests,adverb.temporal
00065346-r,meantime,in the meantime the police were notified,adverb.temporal
00065694-r,twice,I called her twice,adverb.frequency
00065759-r,largely,the sketch was so largely drawn that you could see it from the back row,adverb.manner
00065975-r,lengthily,the argument went on lengthily,adverb.temporal
00066148-r,last,I saw him last in London,adverb.temporal
00066590-r,absently,he read the letter absently,adverb.manner
00066818-r,accusingly,he looked at her accusingly,adverb.manner
00067005-r,poignantly,she spoke poignantly,adverb.manner
00067181-r,ahead,I see the lights of a town ahead,adverb.spatial
00067181-r,ahead,the road ahead is foggy,adverb.spatial
00067181-r,ahead,staring straight ahead,adverb.spatial
00067181-r,before,with the cross of Jesus marching on before,adverb.spatial
00067445-r,ahead,when you pay ahead (or in advance) you receive a discount,adverb.temporal
00067445-r,ahead,We like to plan ahead,adverb.temporal
00067445-r,beforehand,should have made reservations beforehand,adverb.temporal
00067665-r,ahead,go ahead,adverb.spatial
00067665-r,ahead,the train moved ahead slowly,adverb.spatial
00067665-r,ahead,the boat lurched ahead,adverb.spatial
00067665-r,onward,moved onward into the forest,adverb.spatial
00067665-r,forward,they went slowly forward in the mud,adverb.spatial
00067913-r,ahead,the horse was three lengths ahead going into the home stretch,adverb.spatial
00067913-r,ahead,ahead by two pawns,adverb.spatial
00068223-r,ahead,moved the appointment ahead from Tuesday to Monday,adverb.temporal
00068223-r,ahead,pushed the deadline ahead from Tuesday to Wednesday,adverb.temporal
00068470-r,ahead,a young man sure to get ahead,adverb.spatial
00068470-r,ahead,pushing talented students ahead,adverb.spatial
00068768-r,along,we drove along admiring the view,adverb.spatial
00068768-r,along,the horse trotted along at a steady pace,adverb.spatial
00068768-r,on,the circus traveled on to the next city,adverb.spatial
00068768-r,along,move along,adverb.spatial
00068768-r,on,march on,adverb.temporal
00068977-r,along,his little sister came along to the movies,adverb.focus
00068977-r,along,I brought my camera along,adverb.spatial
00068977-r,along,working along with his father,adverb.manner
00069153-r,along,we sent them food and some clothing went along in the package,adverb.focus
00069153-r,along,along with the package came a bill,adverb.manner
00069153-r,along,consider the advantages along with the disadvantages,adverb.focus
00069386-r,along,the work is moving along,adverb.spatial
00069386-r,along,well along in their research,adverb.degree
00069386-r,along,hurrying their education along,adverb.spatial
00069386-r,along,getting along in years,adverb.temporal
00069564-r,along,pass the word along,adverb.spatial
00069564-r,along,ran along beside me,adverb.spatial
00069564-r,along,cottages along by the river,adverb.spatial
00069746-r,on,his spirit lives on,adverb.temporal
00069872-r,on,turn the lights on,adverb.spatial
00069872-r,on,get a load on,adverb.spatial
00070003-r,alike,they walk alike,adverb.manner
00070072-r,alike,parents and teachers alike demanded reforms,adverb.focus
00070171-r,aloud,please read the passage aloud,adverb.manner
00070301-r,loudly,the band played loudly,adverb.manner
00070301-r,loudly,she spoke loudly and angrily,adverb.manner
00070301-r,loud,he spoke loud enough for those at the back of the room to hear him,adverb.manner
00070301-r,aloud,cried aloud for help,adverb.manner
00070566-r,softly,speak softly but carry a big stick,adverb.manner
00070566-r,quietly,she spoke quietly to the child,adverb.manner
00070566-r,softly,the radio was playing softly,adverb.manner
00070766-r,faintly,between him and the dim light a form was outlined faintly,adverb.manner
00070766-r,faintly,stars shining faintly through the overcast,adverb.manner
00070766-r,faintly,could hear his distant shouts only faintly,adverb.degree
00070766-r,faintly,the rumors weren't even faintly true,adverb.degree
00071165-r,randomly,the houses were randomly scattered,adverb.manner
00071450-r,around,the trunk is ten feet around,adverb.spatial
00071450-r,around,the pond is two miles around,adverb.spatial
00071565-r,about,a few spectators standing about,adverb.spatial
00071565-r,around,hanging around,adverb.spatial
00071565-r,around,waited around for the next flight,adverb.spatial
00071721-r,nearby,she works nearby,adverb.spatial
00071721-r,nearby,the planets orbiting nearby are Venus and Mars,adverb.spatial
00071856-r,round,It rains all year round on Skye,adverb.temporal
00071856-r,around,frigid weather the year around,adverb.temporal
00072001-r,around,He came all the way around the base,adverb.spatial
00072001-r,around,the road goes around the pond,adverb.spatial
00072141-r,around,The wheels are spinning around,adverb.manner
00072240-r,around,dirty clothes lying around (or about),adverb.spatial
00072240-r,about,let's look about for help,adverb.spatial
00072240-r,around,There were trees growing all around,adverb.spatial
00072240-r,around,she looked around her,adverb.spatial
00072443-r,around,she came around to see me,adverb.spatial
00072443-r,around,I invited them around for supper,adverb.spatial
00072601-r,about,about face,adverb.spatial
00072601-r,around,suddenly she turned around,adverb.spatial
00072729-r,about,wandering about with no place to go,adverb.spatial
00072729-r,about,people were rushing about,adverb.spatial
00072729-r,around,news gets around (or about),adverb.spatial
00072729-r,around,traveled around in Asia,adverb.spatial
00072729-r,around,he needs advice from someone who's been around,adverb.spatial
00072729-r,around,she sleeps around,adverb.manner
00073249-r,urgently,health care reform is needed urgently,adverb.manner
00073249-r,desperately,the soil desperately needed potash,adverb.degree
00073433-r,about,the job is (just) about done,adverb.degree
00073433-r,almost,the baby was almost asleep when the alarm sounded,adverb.degree
00073433-r,almost,we're almost finished,adverb.degree
00073433-r,nearly,he nearly fainted,adverb.degree
00073433-r,nigh,talked for nigh onto 2 hours,adverb.degree
00073433-r,well-nigh,the recording is well-nigh perfect,adverb.degree
00073433-r,virtually,virtually all the parties signed the contract,adverb.degree
00073433-r,near,I was near exhausted by the run,adverb.degree
00073433-r,most,most everyone agrees,adverb.degree
